Error J1	Error J2	Position J1	Position J2	desTorque1	desTorque2	coriolis1	coriolis2	grav1	grav2	time	
1.03992	-6.24824	-3.13431	6.24824	-2.33609	-1.24753	0.00286461	-0.000212827	2.00072	2.7199	0.401808	
1.03815	-6.23973	-3.13254	6.23973	0.0984676	0.0526537	0.00369223	-0.000274223	2.48733	3.38141	0.444093	
1.03836	-6.24077	-3.13276	6.24077	-3.52215	-1.88134	0.00378446	-0.000281075	2.42805	3.30081	0.444093	
1.04104	-6.25361	-3.13543	6.25361	-8.01017	-4.27715	0.00193931	-0.000144115	1.69298	2.30156	0.366667	
1.03994	-6.24832	-3.13433	6.24832	-1.12444	-0.600455	0.00260476	-0.000193524	1.99581	2.71322	0.4	
1.03875	-6.24264	-3.13315	6.24264	-0.974987	-0.52072	0.00340416	-0.000252851	2.32076	3.15496	0.433333	
1.03734	-6.23585	-3.13173	6.23585	-0.54637	-0.291841	0.00502472	-0.000373115	2.70982	3.68386	0.472283	
1.03729	-6.23562	-3.13169	6.23562	-3.04167	-1.62497	0.00469969	-0.000348969	2.7226	3.70124	0.472283	
1.03677	-6.23309	-3.13116	6.23309	-2.16555	-1.15701	0.00562753	-0.000417819	2.8673	3.89793	0.486378	
1.03478	-6.22355	-3.12917	6.22355	0.500851	0.26779	0.00665078	-0.000493586	3.41327	4.64017	0.528663	
1.03498	-6.2245	-3.12937	6.2245	-3.48318	-1.86169	0.00692777	-0.000514153	3.35868	4.56595	0.528663	
1.03751	-6.23668	-3.13191	6.23668	-7.74855	-4.13948	0.00458674	-0.000340601	2.66207	3.61894	0.466667	
1.03617	-6.23024	-3.13057	6.23024	-0.679104	-0.362828	0.00562322	-0.000417447	3.03067	4.12003	0.5	
1.0338	-6.21884	-3.12819	6.21884	1.20642	0.645083	0.00882694	-0.000654943	3.68263	5.00637	0.556852	
1.03375	-6.21862	-3.12815	6.21862	-3.03416	-1.62213	0.00801481	-0.00059466	3.69527	5.02354	0.556852	
1.03318	-6.21585	-3.12757	6.21585	-2.06435	-1.10378	0.0097178	-0.000720928	3.85386	5.23915	0.570947	
1.03083	-6.20457	-3.12522	6.20457	1.16635	0.624172	0.0109931	-0.000815143	4.49847	6.11558	0.613232	
1.03114	-6.20606	-3.12554	6.20606	-3.67851	-1.96797	0.0113829	-0.000844065	4.41305	5.99942	0.613232	
1.03478	-6.22356	-3.12918	6.22356	-9.75993	-5.2168	0.00720734	-0.000534878	3.41276	4.63947	0.533333	
1.03331	-6.21648	-3.1277	6.21648	-0.430138	-0.229918	0.00875772	-0.000649729	3.81775	5.19006	0.566667	
1.03176	-6.20904	-3.12616	6.20904	-0.292466	-0.156358	0.0103558	-0.000768013	4.24285	5.76802	0.6	
1.02982	-6.19973	-3.12422	6.19973	0.423257	0.226641	0.0141979	-0.0010525	4.77498	6.49155	0.641422	
1.02977	-6.1995	-3.12417	6.1995	-3.01947	-1.61602	0.013168	-0.000976121	4.78833	6.50968	0.641422	
1.02912	-6.19633	-3.12351	6.19633	-1.9058	-1.02016	0.0153863	-0.0011404	4.96917	6.75558	0.655517	
1.02662	-6.18436	-3.12102	6.18436	1.43983	0.771594	0.0166071	-0.0012302	5.65298	7.68547	0.697802	
1.02996	-6.20039	-3.12435	6.20039	-9.19064	-4.91873	0.0138852	-0.00102936	4.7373	6.4403	0.638486	
1.02992	-6.2002	-3.12432	6.2002	-3.03733	-1.62551	0.015239	-0.00112967	4.748	6.45485	0.638486	
1.02922	-6.19682	-3.12361	6.19682	-1.82205	-0.97529	0.0150336	-0.00111431	4.94151	6.71796	0.651113	
1.0276	-6.18906	-3.122	6.18906	-0.162308	-0.0868216	0.0153048	-0.00113383	5.38437	7.32017	0.688994	
1.0302	-6.20154	-3.12459	6.20154	-7.84232	-4.19681	0.0133516	-0.000989848	4.67165	6.35103	0.633372	
1.03017	-6.20142	-3.12457	6.20142	-3.06385	-1.63958	0.0141393	-0.00104822	4.67846	6.36029	0.633372	
1.02964	-6.19886	-3.12404	6.19886	-2.13553	-1.14296	0.014223	-0.00105432	4.82491	6.55942	0.643442	
1.02828	-6.19229	-3.12267	6.19229	-0.615249	-0.329352	0.0152101	-0.00112707	5.19983	7.06923	0.673652	
1.02816	-6.19172	-3.12255	6.19172	-2.8854	-1.54506	0.0160876	-0.00119211	5.23272	7.11396	0.673652	
1.03018	-6.20144	-3.12457	6.20144	-6.79733	-3.6376	0.0129977	-0.000963593	4.67729	6.3587	0.633333	
1.02851	-6.19343	-3.12291	6.19343	-0.0663886	-0.0354398	0.0154213	-0.00114283	5.13503	6.98111	0.666667	
1.02713	-6.18678	-3.12152	6.18678	-0.579606	-0.310382	0.0182611	-0.00135285	5.5148	7.49755	0.693792	
1.02711	-6.18668	-3.1215	6.18668	-3.06558	-1.64215	0.0177497	-0.00131494	5.52014	7.5048	0.693792	
1.02659	-6.18418	-3.12098	6.18418	-2.15084	-1.15232	0.0195393	-0.00144736	5.663	7.69909	0.703862	
1.02481	-6.17564	-3.11921	6.17564	0.141597	0.0760542	0.0206462	-0.00152872	6.1503	8.36184	0.734072	
1.02724	-6.18731	-3.12163	6.18731	-7.52757	-4.03228	0.018016	-0.00133473	5.48414	7.45586	0.691603	
1.02722	-6.18724	-3.12162	6.18724	-3.07317	-1.64615	0.0189896	-0.00140684	5.48839	7.46162	0.691603	
1.02672	-6.18481	-3.12111	6.18481	-2.17918	-1.16745	0.019183	-0.00142102	5.62704	7.65018	0.700578	
1.02537	-6.17831	-3.11976	6.17831	-0.633296	-0.339357	0.0200081	-0.0014816	5.9979	8.15455	0.727505	
1.02734	-6.18781	-3.12174	6.18781	-6.70162	-3.5897	0.0177932	-0.00131825	5.45603	7.41762	0.689595	
1.02733	-6.18775	-3.12173	6.18775	-3.0794	-1.64942	0.0184961	-0.00137031	5.45937	7.42217	0.689595	
1.02689	-6.18563	-3.12129	6.18563	-2.29831	-1.23121	0.0188121	-0.0013936	5.58016	7.58643	0.697567	
1.02567	-6.17975	-3.12006	6.17975	-0.869032	-0.465674	0.0198277	-0.00146837	5.91566	8.0427	0.721482	
1.02562	-6.17953	-3.12002	6.17953	-3.01209	-1.61438	0.0207552	-0.00153708	5.92844	8.06009	0.721482	
1.02678	-6.1851	-3.12117	6.1851	-5.2118	-2.79223	0.0185086	-0.00137107	5.61058	7.62779	0.7	
1.02475	-6.17536	-3.11915	6.17536	0.597539	0.320528	0.0228717	-0.00169349	6.16652	8.3839	0.737425	
1.02474	-6.1753	-3.11914	6.1753	-3.07143	-1.64675	0.0221096	-0.00163705	6.17002	8.38864	0.737425	
1.02431	-6.17322	-3.1187	6.17322	-2.30503	-1.23602	0.0240232	-0.00177856	6.28868	8.55004	0.745397	
1.02283	-6.16611	-3.11723	6.16611	-0.399142	-0.214042	0.0255383	-0.00189011	6.69356	9.10078	0.769312	
1.02292	-6.16655	-3.11732	6.16655	-3.25347	-1.74567	0.0263006	-0.00194656	6.6689	9.06724	0.769312	
1.02497	-6.17639	-3.11936	6.17639	-6.82695	-3.66008	0.0221312	-0.00163874	6.10748	8.30358	0.733333	
1.02307	-6.16728	-3.11747	6.16728	0.361697	0.194218	0.0258912	-0.00191632	6.62704	9.01029	0.766667	
1.022	-6.16212	-3.11639	6.16212	-1.13118	-0.607087	0.028948	-0.00214206	6.92132	9.41062	0.785255	
1.02199	-6.16205	-3.11638	6.16205	-3.06189	-1.64354	0.0284184	-0.00210285	6.92509	9.41574	0.785255	
1.02152	-6.1598	-3.11591	6.1598	-2.23397	-1.19934	0.0302452	-0.00223779	7.0532	9.59003	0.793227	
1.02001	-6.15252	-3.1144	6.15252	-0.325145	-0.174541	0.0319279	-0.00236148	7.46777	10.1541	0.817142	
1.02006	-6.15279	-3.11446	6.15279	-3.18213	-1.70961	0.0328552	-0.00243009	7.45263	10.1335	0.817142	
1.0211	-6.1578	-3.1155	6.1578	-4.98268	-2.67573	0.0302758	-0.00223985	7.16721	9.74514	0.8	
1.01909	-6.14811	-3.11348	6.14811	0.591117	0.317937	0.0359339	-0.00265722	7.71916	10.4962	0.833085	
1.01907	-6.14804	-3.11347	6.14804	-3.05404	-1.64158	0.0348131	-0.00257431	7.72285	10.5012	0.833085	
1.01859	-6.1457	-3.11298	6.1457	-2.19303	-1.17902	0.0374683	-0.00277036	7.85575	10.682	0.841057	
1.01695	-6.13785	-3.11135	6.13785	-0.0997997	-0.0535182	0.039301	-0.00290481	8.30256	11.2901	0.864971	
1.01704	-6.13828	-3.11144	6.13828	-3.23562	-1.74101	0.0404029	-0.00298629	8.27806	11.2568	0.864971	
1.01906	-6.14796	-3.11345	6.14796	-6.74541	-3.62595	0.0354257	-0.00261962	7.72714	10.507	0.833333	
1.01602	-6.13335	-3.11042	6.13335	2.45747	1.32339	0.0440277	-0.00325346	8.55808	11.6379	0.880915	
1.01601	-6.13328	-3.1104	6.13328	-3.0445	-1.63909	0.0420513	-0.00310736	8.56182	11.643	0.880915	
1.0155	-6.13087	-3.1099	6.13087	-2.15444	-1.16016	0.0457669	-0.00338156	8.69903	11.8298	0.888886	
1.01375	-6.12243	-3.10815	6.12243	0.125376	0.0678136	0.0478479	-0.00353397	9.17785	12.4817	0.912801	
1.01388	-6.12304	-3.10827	6.12304	-3.29016	-1.77352	0.0490403	-0.00362208	9.14373	12.4352	0.912801	
1.01694	-6.13775	-3.11133	6.13775	-8.64051	-4.64982	0.0407692	-0.00301329	8.30789	11.2974	0.866667	
1.01474	-6.12718	-3.10913	6.12718	0.9333	0.503099	0.0463315	-0.00342269	8.90875	12.1153	0.9	
1.0128	-6.11787	-3.1072	6.11787	0.456363	0.246413	0.0532664	-0.00393327	9.43673	12.8342	0.928745	
1.01279	-6.1178	-3.10719	6.1178	-3.03417	-1.63658	0.0517633	-0.00382223	9.44053	12.8393	0.928745	
1.01225	-6.11522	-3.10665	6.11522	-2.08296	-1.12381	0.0552463	-0.00407893	9.58684	13.0386	0.936716	
1.01048	-6.10666	-3.10487	6.10666	0.179255	0.0970902	0.0572637	-0.00422618	10.0717	13.699	0.960631	
1.01056	-6.10708	-3.10496	6.10708	-3.21136	-1.7346	0.0588419	-0.00434271	10.0479	13.6666	0.960631	
1.01247	-6.11628	-3.10687	6.11628	-6.53185	-3.5241	0.0532246	-0.00392987	9.52705	12.9572	0.933333	
1.00944	-6.10169	-3.10384	6.10169	2.45752	1.32885	0.063601	-0.00469276	10.3534	14.0828	0.976574	
1.00943	-6.10162	-3.10382	6.10162	-3.02408	-1.63464	0.0609891	-0.00449997	10.3572	14.0878	0.976574	
1.00888	-6.09897	-3.10327	6.09897	-2.04687	-1.10675	0.065877	-0.00486002	10.5071	14.2921	0.984546	
1.00698	-6.08983	-3.10138	6.08983	0.404499	0.219339	0.0679759	-0.00501275	11.0236	14.9959	1.00846	
1.00711	-6.09045	-3.1015	6.09045	-3.27183	-1.77142	0.0697823	-0.00514603	10.989	14.9488	1.00846	
1.01014	-6.10503	-3.10453	6.10503	-8.55787	-4.62416	0.0604517	-0.00446108	10.1642	13.825	0.966667	
1.00773	-6.09343	-3.10212	6.09343	1.33331	0.721946	0.0673435	-0.0049669	10.8205	14.7192	1	
1.00594	-6.08482	-3.10034	6.08482	0.205198	0.111503	0.0752409	-0.0055471	11.3064	15.3814	1.0244	
1.00593	-6.08476	-3.10032	6.08476	-3.01208	-1.63216	0.0734193	-0.00541274	11.3102	15.3866	1.0244	
1.00534	-6.08194	-3.09974	6.08194	-1.97489	-1.07049	0.077781	-0.00573354	11.469	15.603	1.03238	
1.00343	-6.07273	-3.09783	6.07273	0.438937	0.238661	0.079674	-0.00587047	11.9881	16.311	1.05629	
1.00352	-6.07314	-3.09791	6.07314	-3.1824	-1.7276	0.0819855	-0.00604088	11.9652	16.2797	1.05629	
1.00526	-6.08153	-3.09965	6.08153	-6.19543	-3.35908	0.0759389	-0.00559765	11.4924	15.6351	1.03333	
1.0023	-6.0673	-3.0967	6.0673	2.32868	1.26593	0.0880216	-0.00648382	12.294	16.7281	1.07223	
1.00229	-6.06724	-3.09668	6.06724	-3.00039	-1.63034	0.0847525	-0.00624292	12.2977	16.7331	1.07223	
1.00169	-6.06436	-3.09609	6.06436	-1.94146	-1.05533	0.0909031	-0.00669508	12.4594	16.9537	1.08021	
0.999663	-6.05458	-3.09406	6.05458	0.661164	0.36048	0.0927752	-0.00682978	13.0091	17.7037	1.10412	
0.99979	-6.05519	-3.09418	6.05519	-3.24532	-1.76707	0.0953789	-0.00702157	12.9749	17.657	1.10412	
1.00272	-6.06931	-3.09712	6.06931	-8.34236	-4.53204	0.0852549	-0.00628061	12.1809	16.5738	1.06667	
1.00011	-6.05676	-3.09451	6.05676	1.70393	0.928079	0.0937857	-0.00690482	12.8871	17.5372	1.1	
0.998535	-6.04914	-3.09293	6.04914	-0.151801	-0.0823816	0.102207	-0.00752204	13.3144	18.1204	1.12006	
0.998521	-6.04908	-3.09292	6.04908	-2.98665	-1.62795	0.100149	-0.00737053	13.3181	18.1255	1.12006	
0.997891	-6.04604	-3.09229	6.04604	-1.86908	-1.0192	0.105371	-0.00775371	13.4883	18.3579	1.12804	
0.995857	-6.03624	-3.09025	6.03624	0.677258	0.370536	0.106859	-0.00785937	14.0376	19.1078	1.15195	
0.995936	-6.03662	-3.09033	6.03662	-3.14604	-1.71877	0.110104	-0.00809822	14.0161	19.0785	1.15195	
0.99745	-6.04392	-3.09185	6.04392	-5.74781	-3.13626	0.10391	-0.00764536	13.6075	18.5206	1.13333	
0.994639	-6.03037	-3.08903	6.03037	2.08305	1.14011	0.117538	-0.00864234	14.3658	19.5562	1.16789	
0.994626	-6.0303	-3.08902	6.0303	-2.97325	-1.62631	0.113645	-0.00835595	14.3695	19.5612	1.16789	
0.993986	-6.02722	-3.08838	6.02722	-1.83815	-1.00586	0.12109	-0.00890201	14.5419	19.7968	1.17587	
0.991835	-6.01685	-3.08623	6.01685	0.895974	0.492001	0.122428	-0.00899586	15.1205	20.5876	1.19978	
0.991959	-6.01744	-3.08635	6.01744	-3.21091	-1.76081	0.126035	-0.00926107	15.0873	20.5421	1.19978	
0.994728	-6.03079	-3.08912	6.03079	-8.0048	-4.37874	0.115387	-0.00848434	14.3421	19.5238	1.16667	
0.990622	-6.011	-3.08502	6.011	4.42535	2.43118	0.134348	-0.00986874	15.4465	21.0332	1.21572	
0.990608	-6.01093	-3.085	6.01093	-2.95767	-1.62407	0.128038	-0.00940503	15.4502	21.0382	1.21572	
0.989959	-6.0078	-3.08435	6.0078	-1.80913	-0.993858	0.138137	-0.0101454	15.6243	21.2764	1.2237	
0.987693	-5.99687	-3.08209	5.99687	1.11231	0.613344	0.13962	-0.0102489	16.2316	22.1072	1.24761	
0.987861	-5.99768	-3.08226	5.99768	-3.27442	-1.80313	0.143302	-0.0105193	16.1867	22.0457	1.24761	
0.991941	-6.01735	-3.08634	6.01735	-10.3569	-5.68066	0.126147	-0.00926923	15.0922	20.5489	1.2	
0.989094	-6.00363	-3.08349	6.00363	2.15583	1.18648	0.137215	-0.0100756	15.8563	21.5937	1.23333	
0.986485	-5.99104	-3.08088	5.99104	1.73235	0.956199	0.152548	-0.0111944	16.5548	22.5496	1.26355	
