Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.872665	-1.62897	0.349066	0	0	0	0.378119	0.0792168	-0.0188693	0	0	0	0.299006	0.122742	-0.401094	0	
0.872665	-1.62897	0.349066	0	0	0	0.378119	0.0792168	-0.0188693	0	0	0	0.299006	0.122742	-0.401094	0	
0.872665	-1.62897	0.349066	0	0	0	0.378119	0.0792168	-0.0188693	0	0	0	0.299006	0.122742	-0.401094	0	
0.872665	-1.62897	0.349066	0	0	0	0.378119	0.0792168	-0.0188693	1.60822e-07	1.4443e-07	4.22043e-07	0.299006	0.122742	-0.401094	0.00333333	
0.872657	-1.62896	0.349064	7.34008e-06	-9.17655e-06	1.48159e-06	0.377794	0.0791464	-0.018855	1.59206e-07	1.43104e-07	4.18727e-07	0.298983	0.122747	-0.401094	0.00333333	
0.872648	-1.62895	0.349063	1.6455e-05	-2.0552e-05	3.29934e-06	0.377707	0.0791252	-0.0188531	3.55929e-07	3.20062e-07	9.37253e-07	0.298954	0.122753	-0.401094	0.005	
0.872599	-1.62889	0.349053	6.54981e-05	-8.17264e-05	1.3045e-05	0.375926	0.0787348	-0.0187768	1.40075e-06	1.26107e-06	3.7035e-06	0.2988	0.122787	-0.401093	0.01	
0.872599	-1.62889	0.349053	6.55358e-05	-8.17737e-05	1.30528e-05	0.378056	0.0791834	-0.0188837	1.39844e-06	1.25899e-06	3.69741e-06	0.2988	0.122787	-0.401093	0.01	
0.872414	-1.62866	0.349016	0.000250581	-0.000312443	4.96592e-05	0.369836	0.0773924	-0.0185204	8.02098e-06	7.22781e-06	2.13636e-05	0.298219	0.122915	-0.401089	0.0241829	
0.872284	-1.6285	0.348991	0.000380589	-0.000474026	7.48486e-05	0.372086	0.0778188	-0.0186663	7.70195e-06	6.95315e-06	2.06766e-05	0.29781	0.123003	-0.401087	0.0241829	
0.872037	-1.62819	0.348944	0.000627889	-0.000780186	0.000121429	0.366678	0.0765736	-0.0184537	1.25213e-05	1.13151e-05	3.3928e-05	0.297028	0.123168	-0.401082	0.0312744	
0.870923	-1.62682	0.348739	0.00174137	-0.00215506	0.000327038	0.327457	0.0677735	-0.0167282	3.10155e-05	2.80835e-05	8.71888e-05	0.293498	0.1239	-0.401062	0.0525488	
0.870932	-1.62683	0.348741	0.00173263	-0.0021442	0.000325344	0.376876	0.0784172	-0.0192748	3.07239e-05	2.78195e-05	8.63473e-05	0.293526	0.123894	-0.401062	0.0525488	
0.871949	-1.62808	0.348928	0.000715907	-0.000889177	0.000138028	0.422235	0.0885047	-0.0213441	1.34676e-05	1.21731e-05	3.66036e-05	0.29675	0.123227	-0.401081	0.0333333	
0.869275	-1.62479	0.348441	0.00338945	-0.00418386	0.000624428	0.256915	0.0519707	-0.0135149	6.46311e-05	5.84584e-05	0.000190489	0.288257	0.124968	-0.40103	0.0787154	
0.868871	-1.6243	0.348377	0.00379397	-0.00467419	0.000688783	0.356332	0.0732171	-0.0187209	5.53443e-05	5.01445e-05	0.000165805	0.28695	0.125209	-0.401022	0.0787154	
0.86772	-1.6229	0.34819	0.00494468	-0.00607225	0.000875444	0.321784	0.0652146	-0.0171677	7.78567e-05	7.04038e-05	0.000240822	0.28324	0.125905	-0.401	0.0917987	
0.86214	-1.61612	0.34728	0.0105246	-0.0128581	0.00178608	0.118013	0.0184807	-0.00761753	9.11755e-05	8.20882e-05	0.000340942	0.265267	0.129297	-0.400889	0.131049	
0.862883	-1.61705	0.347433	0.00978114	-0.0119257	0.00163321	0.400905	0.0808179	-0.0226682	9.67852e-05	8.70155e-05	0.000350088	0.267586	0.12877	-0.400903	0.131049	
0.869911	-1.62558	0.34856	0.00275331	-0.00339747	0.000505935	0.691473	0.148026	-0.0368799	4.47747e-05	4.05533e-05	0.000129804	0.290271	0.124547	-0.401042	0.0666667	
0.866655	-1.62161	0.348016	0.00601004	-0.00736824	0.00105012	0.226806	0.0440053	-0.0124093	6.90944e-05	6.24858e-05	0.000221384	0.27981	0.126554	-0.400979	0.1	
0.859516	-1.613	0.346934	0.0131482	-0.0159758	0.00213137	0.0424409	-0.000105668	-0.00375866	0.000130418	0.000116	0.0005283	0.25662	0.130697	-0.400834	0.157215	
0.859127	-1.61254	0.34689	0.0135378	-0.0164333	0.00217555	0.347158	0.0680293	-0.0207531	0.000102239	9.11102e-05	0.000423134	0.255321	0.130891	-0.400825	0.157215	
0.857443	-1.61054	0.346672	0.0152219	-0.0184329	0.00239363	0.286172	0.0536002	-0.0176273	0.000133724	0.000118188	0.000586757	0.249766	0.131785	-0.400788	0.170299	
0.848282	-1.5996	0.34541	0.0243828	-0.0293788	0.00365558	-0.0633999	-0.0280582	0.000355588	8.32875e-05	7.05622e-05	0.00059669	0.219727	0.136837	-0.400592	0.209548	
0.85022	-1.60198	0.345755	0.0224447	-0.0269953	0.00331129	0.442241	0.085907	-0.0285473	9.97232e-05	8.51704e-05	0.000619293	0.225902	0.135587	-0.40063	0.209548	
0.862586	-1.61669	0.347389	0.0100787	-0.0122835	0.00167708	0.936132	0.203472	-0.0554576	9.95368e-05	8.94228e-05	0.000363558	0.266617	0.12894	-0.400897	0.133333	
0.857587	-1.61071	0.346686	0.015078	-0.0182658	0.00237982	0.135587	0.019668	-0.00903796	0.000106336	9.42389e-05	0.000466434	0.250251	0.131719	-0.400792	0.166667	
0.851879	-1.60393	0.345953	0.0207859	-0.025039	0.00311319	0.0956269	0.00830944	-0.00767597	9.72675e-05	8.41051e-05	0.000554216	0.23141	0.134741	-0.400667	0.2	
0.845696	-1.59665	0.345225	0.0269685	-0.0323215	0.0038408	0.0658883	-0.000831559	-0.00694422	0.000105588	8.54269e-05	0.000861117	0.210856	0.137872	-0.400528	0.235715	
0.845284	-1.59618	0.34519	0.0273806	-0.0327972	0.00387603	0.332568	0.0604343	-0.023622	8.46893e-05	6.84552e-05	0.000722239	0.209461	0.138055	-0.400517	0.235715	
0.843009	-1.59353	0.344958	0.0296553	-0.0354477	0.00410738	0.24337	0.0390179	-0.0184237	8.73633e-05	6.73915e-05	0.000892712	0.201822	0.139131	-0.400463	0.248798	
0.832752	-1.58154	0.343887	0.0399123	-0.0474293	0.00517892	-0.137925	-0.0517525	0.00431268	1.73496e-06	-1.31861e-05	0.000807919	0.167456	0.144064	-0.400219	0.288048	
0.83443	-1.58355	0.344118	0.0382345	-0.0454219	0.00494781	0.417534	0.076038	-0.0322951	1.67812e-05	-3.97604e-08	0.000845597	0.172951	0.143131	-0.400256	0.288048	
0.845777	-1.59676	0.345253	0.0268872	-0.0322117	0.00381326	0.882739	0.187889	-0.0615954	8.92511e-05	7.25747e-05	0.000730308	0.211089	0.137794	-0.400528	0.233333	
0.838885	-1.58872	0.344537	0.0337799	-0.0402563	0.00452918	0.0240639	-0.0129214	-0.00498522	4.46485e-05	2.90657e-05	0.000747565	0.187977	0.141089	-0.400365	0.266667	
