Error J1	Error J2	Error J3	Position J1	Position J2	Position J3	desTorque1	desTorque2	desTorque3	coriolis1	coriolis2	coriolis3	grav1	grav2	grav3	time	
0.855445	-1.60742	0.345584	0.0172194	-0.0215531	0.00348189	0.267055	0.0673309	-0.0218461	0.000197087	0.000159028	0.000783731	0.245182	0.134853	-0.400775	0.168961	
0.861614	-1.61515	0.346833	0.011051	-0.013826	0.00223307	0.489901	0.128098	-0.0354387	0.000148862	0.000126403	0.000499193	0.26445	0.130496	-0.400891	0.133333	
0.855881	-1.60797	0.345672	0.0167835	-0.0210069	0.00339359	0.0883509	0.0200968	-0.00958427	0.000193978	0.000157201	0.000761335	0.246543	0.134544	-0.400784	0.166667	
0.852924	-1.60426	0.345073	0.0197404	-0.0247126	0.00399263	0.178643	0.0432985	-0.0164449	0.000214193	0.000168048	0.000922273	0.23731	0.136637	-0.400727	0.182165	
0.852816	-1.60413	0.345051	0.0198485	-0.0248487	0.00401468	0.273411	0.0682978	-0.0229745	0.000208082	0.000163029	0.000899075	0.236975	0.136715	-0.400725	0.182165	
0.851459	-1.60242	0.344776	0.0212053	-0.02655	0.00428977	0.230768	0.0566862	-0.0203921	0.000221131	0.000170204	0.00100029	0.23274	0.137678	-0.400699	0.188767	
0.846713	-1.59647	0.343813	0.0259517	-0.0325036	0.00525259	0.114512	0.0249614	-0.0134723	0.000200808	0.000142341	0.00108744	0.217931	0.141052	-0.400608	0.208574	
0.853226	-1.60464	0.345134	0.019439	-0.0243348	0.00393156	0.493164	0.125868	-0.0385736	0.000212297	0.000167169	0.00090513	0.238252	0.136423	-0.400733	0.180586	
0.853142	-1.60453	0.345117	0.0195228	-0.0244403	0.00394865	0.274476	0.0686628	-0.0229669	0.000224349	0.000176474	0.000959036	0.237991	0.136484	-0.400731	0.180586	
0.851848	-1.60291	0.344855	0.0208162	-0.0260621	0.00421087	0.233184	0.0574251	-0.0204589	0.000218087	0.000168756	0.000973473	0.233955	0.137402	-0.400707	0.186399	
0.848312	-1.59848	0.344138	0.0243522	-0.0304971	0.00492808	0.155933	0.0362291	-0.0159611	0.000207615	0.000151943	0.00105376	0.222922	0.139914	-0.400639	0.203837	
0.853501	-1.60498	0.34519	0.0191635	-0.0239896	0.00387575	0.449573	0.114583	-0.0353499	0.000210527	0.000166316	0.000889599	0.239112	0.136229	-0.400738	0.179143	
0.853437	-1.6049	0.345177	0.0192277	-0.0240705	0.00388886	0.275358	0.0689727	-0.0229535	0.000218992	0.000172868	0.000927227	0.238912	0.136275	-0.400737	0.179143	
0.852336	-1.60352	0.344954	0.020329	-0.0254512	0.00411209	0.239961	0.0593376	-0.0208035	0.000216191	0.000168362	0.000949215	0.235475	0.137056	-0.400716	0.184234	
0.8492	-1.59959	0.344318	0.0234644	-0.0293833	0.00474794	0.169913	0.040115	-0.0167216	0.00021069	0.000156641	0.00103377	0.225691	0.139283	-0.400656	0.199508	
0.849071	-1.59943	0.344292	0.023594	-0.0295459	0.00477425	0.269515	0.0661685	-0.023782	0.000218248	0.000161911	0.00107632	0.225287	0.139375	-0.400653	0.199508	
